time	V(Vout1,Vout2)	V(vin1)	V(vin2)	V(vout1)	V(vout2)
3.020612499967700e-002	3.691584e+000	-1.294217e-001	6.471083e-002	1.198143e+001	8.289843e+000
3.030378124967700e-002	3.737701e+000	-1.905818e-001	9.529089e-002	1.199946e+001	8.261756e+000
3.040143749967700e-002	3.748804e+000	-2.515625e-001	1.257813e-001	1.199998e+001	8.251181e+000
3.049909374967700e-002	3.758833e+000	-3.123065e-001	1.561533e-001	1.200000e+001	8.241167e+000
3.069440624967701e-002	3.778855e+000	-4.339399e-001	2.169699e-001	1.200000e+001	8.221145e+000
3.088971874967701e-002	3.798428e+000	-5.528514e-001	2.764257e-001	1.200000e+001	8.201572e+000
3.108503124967701e-002	3.817554e+000	-6.690411e-001	3.345205e-001	1.200000e+001	8.182446e+000
3.128034374967701e-002	3.836232e+000	-7.825089e-001	3.912545e-001	1.200000e+001	8.163768e+000
3.147565624967701e-002	3.854462e+000	-8.932549e-001	4.466274e-001	1.200000e+001	8.145538e+000
3.167096874967702e-002	3.872244e+000	-1.001279e+000	5.006395e-001	1.200000e+001	8.127756e+000
3.186628124967702e-002	3.889579e+000	-1.106581e+000	5.532907e-001	1.200000e+001	8.110421e+000
3.206159374967702e-002	3.906054e+000	-1.206658e+000	6.033289e-001	1.200000e+001	8.093946e+000
3.225690624967702e-002	3.921781e+000	-1.302193e+000	6.510963e-001	1.200000e+001	8.078219e+000
3.235456249967703e-002	3.929344e+000	-1.348144e+000	6.740720e-001	1.200000e+001	8.070656e+000
3.245221874967703e-002	3.936701e+000	-1.392826e+000	6.964132e-001	1.200000e+001	8.063299e+000
3.254987499967703e-002	3.943840e+000	-1.436198e+000	7.180990e-001	1.200000e+001	8.056160e+000
3.264753124967703e-002	3.950758e+000	-1.478218e+000	7.391089e-001	1.200000e+001	8.049242e+000
3.274518749967703e-002	3.957446e+000	-1.518846e+000	7.594232e-001	1.200000e+001	8.042554e+000
3.284284374967703e-002	3.963900e+000	-1.558046e+000	7.790228e-001	1.200000e+001	8.036100e+000
3.294049999967703e-002	3.970111e+000	-1.595778e+000	7.978891e-001	1.200000e+001	8.029889e+000
3.303815624967704e-002	3.976075e+000	-1.632009e+000	8.160046e-001	1.200000e+001	8.023925e+000
3.313581249967704e-002	3.981787e+000	-1.666704e+000	8.333520e-001	1.200000e+001	8.018213e+000
3.323346874967704e-002	3.987241e+000	-1.699830e+000	8.499151e-001	1.200000e+001	8.012759e+000
3.333112499967704e-002	3.992431e+000	-1.731357e+000	8.656783e-001	1.200000e+001	8.007569e+000
3.342878124967704e-002	3.997353e+000	-1.761253e+000	8.806267e-001	1.200000e+001	8.002647e+000
3.352643749967704e-002	4.002001e+000	-1.789493e+000	8.947464e-001	1.200000e+001	7.997999e+000
3.362409374967704e-002	4.006372e+000	-1.816048e+000	9.080240e-001	1.200000e+001	7.993628e+000
3.372174999967705e-002	4.010463e+000	-1.840894e+000	9.204469e-001	1.200000e+001	7.989537e+000
3.381940624967705e-002	4.014268e+000	-1.864007e+000	9.320035e-001	1.200000e+001	7.985732e+000
3.401471874967705e-002	4.021008e+000	-1.904950e+000	9.524752e-001	1.200000e+001	7.978992e+000
3.421003124967705e-002	4.026568e+000	-1.938724e+000	9.693621e-001	1.200000e+001	7.973432e+000
3.440534374967705e-002	4.030928e+000	-1.965201e+000	9.826005e-001	1.200000e+001	7.969072e+000
3.460065624967706e-002	4.034069e+000	-1.984281e+000	9.921405e-001	1.200000e+001	7.965931e+000
3.479596874967706e-002	4.035980e+000	-1.995893e+000	9.979464e-001	1.200000e+001	7.964020e+000
3.499128124967706e-002	4.036655e+000	-1.999992e+000	9.999962e-001	1.200000e+001	7.963345e+000
3.518659374967707e-002	4.036091e+000	-1.996565e+000	9.982823e-001	1.200000e+001	7.963909e+000
3.538190624967707e-002	4.034289e+000	-1.985622e+000	9.928111e-001	1.200000e+001	7.965711e+000
3.557721874967707e-002	4.031258e+000	-1.967206e+000	9.836032e-001	1.200000e+001	7.968742e+000
3.577253124967707e-002	4.027007e+000	-1.941386e+000	9.706932e-001	1.200000e+001	7.972993e+000
3.596784374967708e-002	4.021554e+000	-1.908259e+000	9.541297e-001	1.200000e+001	7.978446e+000
3.616315624967708e-002	4.014917e+000	-1.867950e+000	9.339751e-001	1.200000e+001	7.985083e+000
3.626081249967708e-002	4.011164e+000	-1.845149e+000	9.225743e-001	1.200000e+001	7.988836e+000
3.635846874967708e-002	4.007124e+000	-1.820610e+000	9.103052e-001	1.200000e+001	7.992876e+000
3.645612499967708e-002	4.002802e+000	-1.794359e+000	8.971794e-001	1.200000e+001	7.997198e+000
3.655378124967709e-002	3.998202e+000	-1.766418e+000	8.832092e-001	1.200000e+001	8.001798e+000
3.665143749967709e-002	3.993329e+000	-1.736815e+000	8.684077e-001	1.200000e+001	8.006671e+000
3.674909374967709e-002	3.988187e+000	-1.705578e+000	8.527889e-001	1.200000e+001	8.011813e+000
3.684674999967709e-002	3.982780e+000	-1.672735e+000	8.363675e-001	1.200000e+001	8.017220e+000
3.694440624967709e-002	3.977114e+000	-1.638318e+000	8.191589e-001	1.200000e+001	8.022886e+000
3.704206249967709e-002	3.971194e+000	-1.602359e+000	8.011794e-001	1.200000e+001	8.028806e+000
3.713971874967709e-002	3.965026e+000	-1.564892e+000	7.824458e-001	1.200000e+001	8.034974e+000
3.723737499967710e-002	3.958615e+000	-1.525952e+000	7.629759e-001	1.200000e+001	8.041385e+000
